序號,機構名稱,行政區,地址,電話,核定收托人數,實際收托人數,評鑑結果
34,臺北市私立小庭園托嬰中心,中山區,臺北市中山區遼寧街63巷30號2樓,(02)27510630,23,21,
35,臺北市私立健寶兒英琦托嬰中心,中山區,臺北市中山區龍江路40號2樓,(02)27111148,38,14,
36,臺北市私立詠欣托嬰中心,中山區,臺北市中山區建國北路2段186巷7號、9號1樓,(02)25178218,39,5,
37,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院附設臺北市私立馬偕員工子女托嬰中心,中山區,臺北市中山區中山北路2段106之2號2樓,(02)25424203,34,20,
38,臺北市政府社會局委託台北市教保人員協會辦理臺北市中山托嬰中心,中山區,臺北市中山區林森北路511號1樓(新興國中教學大樓),(02)25214118,40,40,111-優
39,臺北市政府社會局委託台北市教保人員協會經營管理臺北市吉林社區公共托育家園,中山區,臺北市中山區長春路116號2樓(吉林國小－臺北市家庭教育中心),(02)25114698,12,12,110-優
40,臺北市政府社會局委託台北市教保人員協會經營管理臺北市濱中社區公共托育家園,中山區,臺北市中山區樂群二路262號1樓(濱江國中文樓),(02)85015418,12,12,111-優
41,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市北安社區公共托育家園,中山區,臺北市中山區明水路325號1樓(北安國中忠孝樓),(02)25334390,12,12,111-甲
42,臺北市政府社會局委託社團法人中華童心幸福關懷協會經營管理臺北市大直社區公共托育家園,中山區,臺北市中山區大直街2號1樓(大直國小自愛樓),(02)25330158,12,12,111-甲
43,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市濱江社區公共托育家園,中山區,臺北市中山區樂群二路266巷99號1樓(濱江國小幼兒園區),(02)85012413,12,12,109-甲
44,臺北市私立豐村托嬰中心,松山區,臺北市松山區光復南路13巷43號1樓,(02)27687959,23,22,110-乙
45,臺北市私立多多托嬰中心,松山區,臺北市松山區八德路3段12巷51弄19號1樓,"(02)25791370
",32,32,109-甲
46,臺北市私立凱思托嬰中心,松山區,臺北市松山區光復北路100巷8號1樓,(02)25791350,30,27,109-乙
47,臺北市私立哈寶寶托嬰中心,松山區,臺北市松山區民生東路5段36巷4弄41號1樓,(02)37651389,20,20,110-甲
48,臺北市私立采禾托嬰中心,松山區,臺北市松山區八德路3段81號2樓之1,(02)25771163,40,40,111-甲
49,臺北市私立健寶兒托嬰中心,松山區,臺北市松山區敦化北路222巷15號1樓,(02)27123455,24,2,111-乙
50,臺北市私立哈寶貝托嬰中心,松山區,臺北市松山區民生東路5段39之2號1樓,(02)27565859,22,22,111-甲
51,臺北市私立悅福托嬰中心,松山區,臺北市松山區南京東路4段95號2樓,(02)25472977,36,21,109-乙
52,臺北市私立悅和托嬰中心,松山區,臺北市松山區南京東路4段93號2樓,(02)25473118,22,14,110-乙
53,臺北市私立天使寶貝蒙特梭利托嬰中心,松山區,臺北市松山區敦化北路145巷71號1樓,(02)27126655,26,26,110-甲
54,臺北市私立天愛托嬰中心,松山區,臺北市松山區三民路9號2樓之5,(02)87875598,32,29,111-甲
55,臺北市私立健寶兒敦北托嬰中心,松山區,臺北市松山區民權東路3段106巷3弄55之1號,(02)25466699,30,23,111-甲
56,臺北市私立健寶兒吉祥托嬰中心,松山區,臺北市松山區八德路4段111號3樓,(02)27672855,60,28,
57,臺北市私立牧星托嬰中心,松山區,臺北市松山區復興北路427巷23號1樓,(02)25140228,25,25,
58,臺北市私立玥康托嬰中心,松山區,臺北市松山區民生東路80巷1弄11號1樓,(02)25467888,26,8,
59,臺北市政府社會局委託經國管理暨健康學院辦理臺北市松山托嬰中心,松山區,臺北市松山區三民路5號1樓(西松國小東陽樓),(02)37651775,40,40,109-優
60,臺北市政府社會局委託財團法人中華民國唐氏症基金會辦理臺北市健康托嬰中心,松山區,臺北市松山區健康路323號1樓(健康公宅2區),(02)27618321,45,45,109-甲
61,臺北市政府社會局委託台北市教保人員協會經營管理臺北市松民社區公共托育家園,松山區,臺北市松山區民生東路5段163-1號2樓,(02)27652003,12,12,109-優
62,臺北市政府社會局委託臺北市嬰幼兒托育協會經營管理臺北市松山社區公共托育家園,松山區,臺北市松山區八德路4段746號1樓(松山國小南棟),(02)27480228,12,12,
63,臺北市私立吉事達康博喜托嬰中心,大安區,臺北市大安區敦化南路2段200巷20號1樓及22號1樓,"(02)27381616
",40,28,110-甲
64,臺北市私立萌語托嬰中心,大安區,臺北市大安區安和路2段70號2樓之5,(02)27030888,28,28,111-優
65,臺北市私立小天心托嬰中心,大安區,臺北市大安區師大路86巷4號1樓,(02)23678146,33,33,109-甲
66,臺北市私立以愛托嬰中心,大安區,臺北市大安區和平東路1段183巷3弄2之1號1樓,(02)23910805,28,19,111-甲
67,臺北市私立橘子樹寶貝托嬰中心,大安區,臺北市大安區瑞安街155巷2號1樓,(02)27048288,35,35,110-乙
68,臺北市私立采侑托嬰中心,大安區,臺北市大安區羅斯福路3段333巷9號2樓及11號2樓,(02)23681237,40,28,111-甲
69,臺北市私立翻轉學堂托嬰中心,大安區,臺北市大安區四維路160巷14號1樓,(02)27045089,25,25,111-甲
70,臺北市私立天心大安托嬰中心,大安區,臺北市大安區新生南路3段86巷23、25號1樓,(02)23635261,39,39,111-甲
71,臺北市私立萌語大安托嬰中心,大安區,臺北市大安區安和路1段112巷22號,(02)27009000,40,39,109-甲
72,臺北市私立小樹蒙特梭利托嬰中心,大安區,臺北市大安區樂業街188號1樓,(02)27320909,24,24,
73,臺北市私立廣蕎托嬰中心,大安區,臺北市大安區通化街176巷8號2樓,(02)23778185,25,25,
74,臺北市政府社會局委託社團法人新北市國際兒童教育協會辦理臺北市大安托嬰中心,大安區,臺北市大安區羅斯福路4段21號1樓(臺北市銘傳國小向陽樓),(02)23656565,40,40,109-優
75,臺北市政府社會局委託台北市兒童托育協會經營管理臺北市成功社區公共托育家園,大安區,臺北市大安區四維路198巷38弄10號(大安區成功國宅警察局駐點廳舍),(02)27070857,12,12,111-優
76,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市大安社區公共托育家園,大安區,臺北市大安區臥龍街129號2樓(大安國小活動中心),(02)27374956,12,12,109-甲
77,臺北市政府社會局委託台北市教保人員協會經營管理臺北市族中社區公共托育家園,大安區,臺北市大安區羅斯福路4段113巷13號1樓(民族國中後棟),(02)23770039,12,12,109-優
78,臺北市政府社會局委託財團法人海棠文教基金會經營管理臺北市懷中社區公共托育家園,大安區,臺北市大安區忠孝東路3段248巷30號1樓(懷生國中懷生樓),(02)27780378,12,12,109-甲
79,臺北市私立小育龍托嬰中心,萬華區,臺北市萬華區萬大路61號2樓,(02)23089200,21,20,111-甲
80,臺北市私立安馨托嬰中心,萬華區,臺北市萬華區中華路2段364巷5號1樓,(02)23391661,22,22,109-甲
81,臺北市私立小育龍莒光托嬰中心,萬華區,臺北市萬華區莒光路175號2樓,(02)23043118,19,19,111-甲
82,臺北市私立瑞吉歐托嬰中心,萬華區,臺北市萬華區中華路2段364巷17號1樓,(02)23017002,20,20,111-甲
83,臺北市私立安馨寶貝托嬰中心,萬華區,臺北市萬華區中華路2段364巷13號1樓,(02)23097027,28,28,111-甲
84,臺北市私立小時候托嬰中心,萬華區,臺北市萬華區萬大路423巷46號1樓,(02)23073636,24,24,
85,臺北市政府社會局委託社團法人臺北市嬰幼兒適性發展協會辦理臺北市萬華托嬰中心,萬華區,臺北市萬華區成都路98號1樓(西門國小和平樓),(02)23889066,40,40,110-優
86,臺北市政府社會局委託社團法人新北市春陽關懷協會經營管理臺北市萬大托嬰中心,萬華區,臺北市萬華區西藏路201號2樓(萬華國中勵學樓2樓),(02)23375687,45,45,111-優
87,臺北市政府社會局委託中華民國蒙特梭利教師協會經營管理臺北市雙園社區公共托育家園,萬華區,臺北市萬華區興義街2號1樓(雙園國中D棟),(02)23052362,12,12,111-甲
88,臺北市政府社會局委託社團法人新北市中華國際嬰幼兒發展學會經營管理臺北市日善社區公共托育家園,萬華區,臺北市萬華區東園街19-1號1樓,(02)23038805,12,12,110-乙
89,臺北市政府社會局委託社團法人新北市春陽關懷協會經營管理臺北市龍山社區公共托育家園,萬華區,臺北市萬華區和平西路3段235號3樓(龍山國小仁愛樓),(02)23083199,12,12,111-甲
90,臺北市政府社會局委託社團法人新北市中華國際嬰幼兒發展學會經營管理臺北市東園社區公共托育家園,萬華區,臺北市萬華區東園街195號1樓(東園國小內),(02)23016925,12,12,111-優
91,臺北市政府社會局委託社團法人新北市中華國際嬰幼兒發展學會經營管理臺北市西園社區公共托育家園,萬華區,臺北市萬華區東園街73巷65號2樓(西園國小內),(02)23391231,12,12,111-甲
92,臺北市政府社會局委託社團法人中華兆陽文教發展協會經營管理臺北市亭中社區公共托育家園,萬華區,臺北市萬華區中華路2段606巷3號2樓(古亭國中第二校區),(02)23019738,12,12,109-甲
93,臺北市政府社會局委託社團法人新北市國際兒童教育協會經營管理臺北市青年托嬰中心,萬華區,臺北市萬華區日祥里青年路188之1號,(02)23011536,45,45,110-優
94,臺北市政府社會局委託財團法人海棠文教基金會經營管理臺北市老松社區公共托育家園,萬華區,臺北市萬華區桂林路64號1樓(老松國小南棟),(02)23028488,12,12,110-優
95,臺北市私立薇薇安娃娃國托嬰中心,信義區,臺北市信義區忠孝東路5段236巷3弄29號2樓及2樓之1,(02)23459330,24,24,111-乙
96,臺北市私立薇薇安娃娃國信義園托嬰中心,信義區,臺北市信義區忠孝東路5段236巷37弄33號1樓,(02)87801438,20,19,110-乙
97,臺北市私立信義小太陽托嬰中心,信義區,臺北市信義區中坡南路98巷2號1樓,(02)27277726,20,20,111-乙
98,臺北市私立薇薇安娃娃國興雅園托嬰中心,信義區,臺北市信義區松德路180巷9號,(02)87869037,24,23,110-乙
99,臺北市私立薇薇安娃娃國松德園托嬰中心,信義區,臺北市信義區松德路180巷11號,(02)87869036,28,27,110-乙
100,臺北市私立柚子樹托嬰中心,信義區,臺北市信義區信義路6段36號1樓,(02)66050926,20,20,111-乙
101,臺北市政府附設臺北市私立市政大樓員工子女社區公共托育家園,信義區,臺北市信義區市府路1號2樓(臺北市政府市政大樓南區),(02)27208889,12,12,110-甲
102,臺北市政府社會局委託社團法人台北市幼兒園協會辦理臺北市信義托嬰中心,信義區,臺北市信義區基隆路2段99號1樓(三興國小和平樓),(02)23783232,40,40,109-優
103,臺北市政府社會局委託社團法人臺北市保母成長促進會經營管理臺北市吳興社區公共托育家園,信義區,臺北市信義區松仁路226號2樓(吳興國小信義樓),(02)27580675,12,12,111-乙
104,臺北市政府社會局委託臺北市托育發展協會經營管理臺北市興雅社區公共托育家園,信義區,臺北市信義區基隆路1段83巷9號2樓(興雅國小和平樓),(02)27495657,12,12,111-優
105,臺北市私立怡寶優質托嬰中心,士林區,臺北市士林區文林路740巷9弄24號1樓,"(02)28359188
",22,22,109-優
106,臺北市私立怡寶托嬰中心,士林區,臺北市士林區中山北路5段852號1樓,(02)28361115,24,24,109-甲
107,臺北市私立怡寶資優托嬰中心,士林區,臺北巿士林區文林路740巷9弄2號1樓,(02)28359188,22,22,111-優
108,臺北市私立好來托嬰中心,士林區,臺北市士林區忠誠路2段166巷31號1樓至2樓,(02)28718698,40,29,111-乙
109,臺北市私立春田托嬰中心,士林區,臺北市士林區磺溪街88巷6號1樓,(02)28366515,22,18,111-甲
110,臺北市私立萌語天母托嬰中心,士林區,臺北市士林區中山北路6段405巷70號1樓,(02)28718988,31,30,111-優
111,臺北市私立春田天母托嬰中心,士林區,臺北市士林區忠誠路2段32巷9號1樓,(02)28348523,34,30,109-乙
112,臺北市私立怡寶質優托嬰中心,士林區,臺北市士林區前港街88號1樓,(02)28810088,23,21,110-優
113,臺北市私立長藤托嬰中心,士林區,臺北市士林區葫蘆街140號1樓,(02)28136942,20,20,110-甲
114,臺北市私立維薆托嬰中心,士林區,臺北市士林區忠誠路2段70巷13弄1號1樓,(02)28313391,25,24,110-甲
115,臺北市私立好來天母托嬰中心,士林區,臺北市士林區士東路244號1樓,(02)28718697,27,24,110-甲
116,臺北市私立孩子國萌寶托嬰中心,士林區,臺北市士林區承德路4段187號1樓,(02)28881541,33,31,111-甲
117,臺北市私立雨聲托嬰中心(社團法人新北市嬰幼兒托育協會辦理),士林區,臺北市士林區雨聲街105號1樓(聯醫陽明院區宿舍大樓西側1樓),(02)28315601,30,29,111-優
118,臺北市私立幼天才托嬰中心,士林區,臺北市士林區華齡街180號及182號1樓,(02)88611580,40,38,111-優
119,臺北市私立怡寶士林官邸托嬰中心,士林區,臺北市士林區中山北路5段520號1樓,(02)28883520,79,77,110-甲
120,臺北市私立長藤幼苗托嬰中心,士林區,臺北市士林區中正路655巷6號及8號,(02)28162958,23,23,111-甲
121,臺北市私立蘭瑛托嬰中心,士林區,臺北市士林區德行東路74巷22號1樓,(02)28333030,30,29,
122,臺北市私立蘇培兒托嬰中心,士林區,臺北市士林區社中街422號1樓及2樓,(02)28116565,34,30,
123,臺北市私立萌薆托嬰中心,士林區,臺北巿士林區士東路120巷22弄1號,(02)28360083,24,24,
124,臺北市私立小熊搖籃天母一館托嬰中心,士林區,臺北市士林區天母西路48號1、2樓,(02)28764468,35,34,
125,臺北市私立怡寶美好時光托嬰中心,士林區,臺北市士林區文林路740巷11號1樓,(02)28360711,19,19,
126,臺北市政府社會局委託財團法人靖娟兒童安全文教基金會辦理臺北市士林托嬰中心,士林區,臺北市士林區基河路130號1樓,(02)28836242,45,45,110-優
127,臺北市政府社會局委託財團法人彭婉如文教基金會經營管理臺北市芝山社區公共托育家園,士林區,臺北市士林區德行東路285號3樓(芝山國小忠孝樓),(02)28385506,12,12,110-甲
128,臺北市政府社會局委託社團法人台灣公共托育協會經營管理臺北市葫蘆社區公共托育家園,士林區,臺北市士林區環河北路3段95號2樓(葫蘆國小光復樓),(02)28105878,12,12,111-甲
129,臺北市政府社會局委託新北市嬰幼兒托育發展促進會經營管理臺北市富安社區公共托育家園,士林區,臺北市士林區延平北路8段135號2樓(富安國小內),(02)28117668,12,12,111-甲
130,臺北市政府社會局委託台北市托嬰協會經營管理臺北市百齡社區公共托育家園,士林區,臺北市士林區福港街205號1樓(百齡國小內),(02)28815205,12,12,111-甲
131,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理臺北市三玉社區公共托育家園,士林區,臺北市士林區天母東路116號2樓(三玉國小內),(02)28745376,12,12,111-甲
132,臺北市政府社會局委託新北市嬰幼兒托育發展促進會經營管理臺北市蘭雅社區公共托育家園,士林區,臺北市士林區磺溪街57號(蘭雅國小內),(02)28384896,12,12,111-甲
133,臺北市政府社會局委託社團法人台灣公共托育協會經營管理臺北市文昌社區公共托育家園,士林區,臺北市士林區文林路615巷20號1樓(文昌國小內),(02)28318272,12,12,109-優
134,臺北市政府社會局委託社團法人台灣公共托育協會經營管理臺北市士林社區公共托育家園,士林區,臺北市士林區大東路165號1樓(士林國小育才樓),(02)28833701,12,12,109-甲
135,臺北市私立芳馨園二館托嬰中心,北投區,臺北市北投區大興街23巷35號1樓,"(02)28981491
",24,23,110-甲
136,臺北市私立安格托嬰中心,北投區,臺北市北投區石牌路2段90巷17號2樓,(02)28237932,34,34,111-乙
137,臺北市私立向暘托嬰中心,北投區,臺北市北投區石牌路2段352號1樓,(02)28722873,34,34,111-甲
138,臺北市私立幼輝托嬰中心,北投區,臺北市北投區明德路118巷17號1樓,(02)28232405,22,17,109-甲
139,臺北市私立可瑞荳托嬰中心,北投區,臺北市北投區大業路506之1號1樓,(02)28932886,22,22,109-優
140,臺北市私立芳馨園托嬰中心,北投區,臺北市北投區中央北路2段227號1樓,(02)28986662,20,19,111-甲
141,臺北市私立貝兒托嬰中心,北投區,臺北市北投區吉利街158號1樓及2樓,(02)28280818,38,35,110-優
142,臺北市私立小腳ㄚ托嬰中心,北投區,臺北市北投區吉利街162號1樓,(02)28272659,20,19,111-甲
143,臺北市私立小腳ㄚ大未來托嬰中心,北投區,臺北巿北投區吉利街207號,(02)28216575,22,20,111-甲
144,臺北市私立樂葳兒托嬰中心,北投區,臺北市北投區文林北路112號1樓,(02)28282525,49,30,110-甲
145,臺北市私立天華托嬰中心,北投區,臺北市北投區光明路167號2樓,(02)28942666,63,49,110-甲
146,臺北市私立天華石牌托嬰中心,北投區,臺北巿北投區榮華三路25號2樓,(02)28212653,39,25,
147,臺北市政府社會局委託台北市教保人員協會經營管理臺北市北投托嬰中心,北投區,臺北市北投區光明路22號2樓,(02)28973848,40,40,109-優
148,臺北市政府社會局委託馬偕醫護管理專科學校經營管理臺北市關渡托嬰中心,北投區,臺北市北投區知行路212號2樓(關渡國中內),(02)28581758,40,40,108-甲
149,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市奇岩托嬰中心,北投區,臺北市北投區磺港路273號1樓,(02)28982327,45,45,
150,臺北市政府社會局委託財團法人彭婉如文教基金會經營管理臺北市北投社區公共托育家園,北投區,臺北市北投區中央北路1段73號2樓(北投國小白宮),(02)28962977,12,12,111-甲
151,臺北市政府社會局委託財團法人彭婉如文教基金會經營管理臺北市桃源社區公共托育家園,北投區,臺北市北投區中央北路3段40巷45號1樓(桃源國小),(02)28931077,12,12,111-優
152,臺北市政府社會局委託臺北市嬰幼兒托育協會經營管理臺北市文北社區公共托育家園,北投區,臺北市北投區文林北路75巷61號1樓,(02)28280362,12,12,109-甲
153,臺北市政府社會局委託臺北市嬰幼兒托育協會經營管理臺北市洲美社區公共托育家園,北投區,臺北市北投區福美路221號1樓,(02)28280372,12,12,109-優
154,臺北市政府社會局委託臺北市嬰幼兒托育協會經營管理臺北市稻香社區公共托育家園,北投區,臺北市北投區稻香路83號,(02)28988036,12,12,
155,臺北市私立快樂托嬰中心,內湖區,臺北市內湖區民權東路6段282號2樓,(02)26321036,30,30,110-乙
156,臺北市私立小小百合蒙特梭利托嬰中心,內湖區,臺北市內湖區星雲街36號1樓及夾層樓,(02)27938049,20,20,110-甲
157,臺北市私立嘉霙托嬰中心,內湖區,臺北市內湖區陽光街150號1樓,(02)87972299,25,25,111-甲
158,臺北市私立斑比諾托嬰中心,內湖區,臺北市內湖區民權東路6段190號1樓,(02)27923235,58,57,111-甲
159,臺北市私立愛德芬托嬰中心,內湖區,臺北市內湖區民權東路6段296巷48之3號1樓,(02)26338731,18,15,109-乙
160,臺北市私立維多爾托嬰中心,內湖區,臺北市內湖區民權東路6段296巷41號及41-1號1樓,(02)26346475,40,40,110-甲
161,臺北市私立愛寶貝內湖園托嬰中心,內湖區,臺北市內湖區內湖路2段271號及273號1-2樓,(02)27962488,40,36,111-甲
162,臺北市私立艾兒嘉托嬰中心,內湖區,臺北市內湖區民權東路6段296巷66之2號1樓,(02)26310095,33,33,111-甲
163,臺北市私立永寶兒托嬰中心,內湖區,臺北市內湖區民權東路6段180巷6號2樓,(02)87925533,160,35,111-乙
164,臺北市私立一貳三托嬰中心,內湖區,臺北市內湖區金莊路26號1樓,(02)27908009,33,33,111-甲
165,臺北市私立青穗國際托嬰中心,內湖區,臺北市內湖區東湖路113巷5弄16號1、2樓,(02)26339090,40,38,110-乙
166,臺北市私立藝蘭托嬰中心,內湖區,臺北市內湖區港墘路84號2樓,(02)26279660,29,28,110-乙
167,臺北市私立愛力寶寶托嬰中心,內湖區,臺北市內湖區內湖路2段336巷1號及3號1樓,(02)27911133,38,24,
168,臺北市私立怡寶內湖科技之星托嬰中心,內湖區,臺北市內湖區瑞光路337號2樓,(02)27995337,69,57,
169,臺北市私立凱菲林托嬰中心,內湖區,臺北市內湖區康寧路3段54之7號2樓,(02)26346116,23,11,
170,臺北市私立探險家托嬰中心,內湖區,臺北市內湖區康樂街116號2樓、116之1號2樓、116之2號2樓,(02)26330519,46,5,
171,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理臺北市內湖托嬰中心,內湖區,臺北市內湖區內湖路1段659號2樓,(02)77097991,45,45,110-優
172,臺北市政府社會局委託社團法人台北市幼兒園協會辦理臺北市大湖托嬰中心,內湖區,臺北市內湖區大湖山莊街170號1樓(大湖國小溫馨樓),"(02)27943017
",40,40,108-優
173,臺北市政府社會局委託社團法人臺北市飛亞特全人福利服務文教發展協會經營管理臺北市西湖托嬰中心,內湖區,臺北市內湖區環山路1段25號2樓(西湖國小忠孝樓),(02)87978863,40,40,109-優
174,臺北市政府社會局委託社團法人中華兆陽文教發展協會經營管理臺北市潭美托嬰中心,內湖區,臺北市內湖區新明路22號,(02)27926383,45,45,
175,臺北市政府社會局委託社團法人臺北市幼托協會經營管理臺北市新湖社區公共托育家園,內湖區,臺北市內湖區民權東路6段138號1樓(新湖國小內),(02)27968015,12,12,111-甲
176,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市星雲社區公共托育家園,內湖區,臺北市內湖區星雲街161巷3號1樓,(02)87922462,12,12,111-優
177,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市麗山社區公共托育家園,內湖區,臺北市內湖區港華街100號1樓(麗山國小四維二大樓),(02)87510725,12,12,111-優
178,臺北市政府社會局委託社團法人臺北市飛亞特全人福利服務文教發展協會經營管理臺北市文湖社區公共托育家園,內湖區,臺北市內湖區文湖街15號2樓(文湖國小內),(02)87978861,12,12,111-優
179,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市潭美社區公共托育家園,內湖區,臺北市內湖區行善路179號3樓(潭美國小行政樓),(02)27936532,12,12,109-優
180,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市瑞光社區公共托育家園,內湖區,臺北市內湖區瑞光路162號2樓,(02)26591991,12,12,111-甲
181,臺北市私立小狀元托嬰中心(原名稱:小斑馬托嬰中心；我們的南港托嬰中心),南港區,臺北市南港區市民大道8段369號2樓之1,(02)27885829,25,8,109-乙
182,臺北市私立愛寶貝南港園托嬰中心,南港區,臺北市南港區研究院路1段49號及51號1樓,(02)26512407,40,40,110-甲
183,臺北市私立荳寶托嬰中心,南港區,臺北市南港區興南街50號及52巷1號1樓,(02)27835265,35,28,110-甲
184,臺北市私立中研斑比亞托嬰中心(社團法人臺北市兒童暨少年全方位發展協會辦理),南港區,臺北市南港區研究院路2段61巷9號1樓,(02)26538812,40,35,
185,臺北市私立愛寶貝南軟園托嬰中心,南港區,臺北市南港區南港路1段2巷27號,(02)27834082,32,32,
186,臺北市政府社會局委託社團法人新北市國際兒童教育協會辦理臺北市南港托嬰中心,南港區,臺北市南港區東新街65號2樓(成德國小四維樓),(02)27856838,40,40,109-優
187,臺北市政府社會局委託社團法人新北市中華國際嬰幼兒發展學會經營管理臺北市舊莊社區公共托育家園,南港區,臺北市南港區舊莊街1段100號1樓(舊莊國小忠孝樓),(02)27883976,12,12,111-甲
188,臺北市政府社會局委託社團法人中華婦幼健康促進發展協會經營管理臺北市玉成社區公共托育家園,南港區,臺北市南港區向陽路31號1樓(玉成國小和平樓),(02)26530800,12,12,110-優
189,臺北市政府社會局委託社團法人中華兆陽文教發展協會經營管理臺北市東明托嬰中心,南港區,臺北市南港區南港路2段60巷17號,"(02)27853848
",40,40,111-優
190,臺北市政府社會局委託社團法人中華兆陽文教發展協會經營管理臺北市小彎社區公共托育家園,南港區,臺北市南港區向陽路250號1樓,(02)27836583,12,12,
